DAY	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
1	34	84	70	112	78	61	57	100	126	90	73	70	80	89	55
2	18	93	104	56	58	44	26	60	89	69	64	82	47	78	44
3	32	78	110	40	40	23	20	25	37	55	55	91	30	65	44
4	60	74	35	0	38	66	37	42	30	75	40	75	35	70	42
5	95	113	47	0	37	74	47	55	40	73	21	35	35	37	59
6	144	98	75	0	31	53	39	63	24	228	33	61	41	35	119
7	160	75	89	0	63	53	86	56	46	94	63	103	64	57	61
8	152	59	28	0	44	33	16	64	71	56	82	93	68	63	32
9	106	88	50	0	57	45	14	54	68	57	73	111	65	96	34
10	79	99	78	91	80	88	20	34	96	66	69	85	40	42	23
11	47	108	110	57	92	104	54	29	88	71	93	59	29	50	31
12	87	82	70	45	27	119	87	31	122	61	70	40	0	75	27
13	120	71	60	78	24	129	65	25	114	39	84	69	25	37	36
14	110	51	94	67	38	97	71	27	100	28	32	87	41	38	36
15	77	55	56	58	34	58	60	35	80	23	32	0	43	36	38
16	68	68	97	42	27	60	51	43	66	3	44	0	42	20	41
17	62	74	115	60	22	52	56	16	88	20	34	33	30	22	36
18	11	92	115	53	54	72	0	18	76	45	28	40	41	24	20
19	30	42	73	74	33	62	0	33	65	58	28	50	55	28	51
20	67	69	67	99	32	38	51	19	73	35	30	57	86	39	64
21	47	93	87	44	48	54	59	19	78	44	51	52	90	63	50
22	33	90	113	59	31	47	53	16	71	40	63	26	76	67	43
23	44	75	0	14	52	51	55	27	100	33	56	34	116	47	50
24	67	55	40	4	67	46	64	60	92	0	17	47	126	62	71
25	89	29	72	22	81	42	58	64	73	0	26	38	153	51	91
26	116	40	74	32	79	30	0	90	64	59	49	38	159	42	98
27	91	60	47	48	84	26	0	63	62	68	34	59	171	63	87
28	96	47	29	80	82	52	70	22	78	74	14	60	159	89	63
29	83	0	41	81	48	69	100	30	38	70	48	56	159	127	48
30	80	54	42	118	91	59	91	42	39	75	34	20	137	172	47
31	114	74	50	72	78	35	22	57	33	62	37	35	74	147	48
32	83	117	70	72	60	24	39	52	34	71	32	46	72	119	41
33	133	80	95	93	78	0	60	46	50	39	21	80	85	84	12
34	171	87	94	61	15	31	85	47	32	19	12	61	45	48	4
35	0	58	64	39	24	37	85	75	31	39	29	30	22	29	25
36	0	34	26	58	28	54	60	89	41	56	28	16	30	22	34
37	75	48	33	66	54	30	24	126	65	43	18	20	48	0	28
38	96	52	77	67	68	20	26	104	62	38	39	31	42	23	23
39	0	77	121	49	32	27	36	81	64	45	28	57	31	24	51
40	0	135	140	51	38	39	50	88	68	37	27	37	37	27	62
