YEAR	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
GEN	2.2	1.4	1.1	5.2	5.1	2.4	1.7	3	1.1	3.5	6.5	3.6	3.5	1.1	5.5
FEB	3.3	2.6	3.5	6.3	5	4.8	4.6	4.3	2	3.6	8	5.3	7.6	6.5	3.8
MAR	7.6	7.9	7.4	9.9	8.6	8.7	7.7	8.9	11.4	7.5	10.9	9.4	9.7	11.3	7.2
APR	12.9	12	13.2	15.6	12.8	13.8	13.2	15.3	12.9	13.7	15	13.2	14.1	14.2	15.8
MAG	16.2	18.2	17.4	19	18.2	19.9	17.3	19.1	17.8	16.6	17.6	18.7	17.1	18.4	19.7
GIU	21.7	22.2	21.8	21.8	21.9	21.6	21.7	22.1	23.7	21.8	22.3	22.6	21.6	24	22.6
LUG	23.7	23.5	25	24	24	24.2	25.2	23.3	26	25	22.4	26.8	25.1	24.7	24.7
AGO	23.6	20.9	20.5	22.5	24	25.1	22.6	25	26.2	23.6	21.8	24.3	23.1	25.2	25
SET	19.1	19.4	20.1	18.1	18.5	20.2	18.1	22	20	19.5	18.8	19.6	20.6	17.6	20.4
OTT	15.9	13.4	15	13.9	15.1	13.7	12.9	13.1	14.6	15.3	16.1	14.1	13.3	13.8	15.6
NOV	8.6	7.2	8.7	7.4	8.7	9.5	9.8	7.3	10.2	9.9	11.4	8.5	9.3	8.1	10.9
DIC	5.3	2.9	5.3	3	4.4	3	1.9	3.7	2.1	3.9	6.1	3.9	3.1	2.8	2.9
